Loss_Di,Loss_Dv,Loss_Gi,Loss_Gv,Di_real_mean,Di_fake_mean,Dv_real_mean,Dv_fake_mean
0.8951,1.0359,1.5418,3.0638,0.5819,0.0893,0.5462,0.0262
0.8792,0.5228,3.6820,2.4448,0.9085,0.2702,0.8702,0.1709
0.8470,1.0734,4.7030,5.6166,0.9603,0.2939,0.8649,0.5086
0.7902,0.6293,2.8646,3.5784,0.4983,0.0641,0.5805,0.0422
0.4116,0.7911,3.8375,2.2827,0.7759,0.0214,0.5391,0.0628
0.6832,0.8137,3.8400,2.7396,0.9426,0.2183,0.9554,0.3258
0.5380,0.7389,5.8648,3.7606,0.9477,0.1589,0.9668,0.2750
0.9886,0.8817,2.9095,2.6523,0.4365,0.0446,0.5257,0.1069
0.4811,0.6996,2.6221,3.8956,0.7298,0.0581,0.9098,0.2935
1.5990,0.3803,2.6556,4.5386,0.4210,0.4827,0.8497,0.0370
0.8996,0.6379,6.6112,2.4160,0.9128,0.3851,0.7040,0.0895
0.5553,3.3580,5.7553,5.7132,0.7065,0.0245,0.9579,0.8083
0.4301,0.8314,4.6330,7.2015,0.9329,0.0877,0.5044,0.1167
0.7359,1.5827,3.1498,2.2722,0.5880,0.0083,0.2163,0.0481
0.5248,1.3532,3.0820,3.1440,0.9460,0.1365,0.9111,0.3771
0.7019,0.6515,3.5638,3.5091,0.7665,0.2282,0.6804,0.1490
0.8476,0.9289,1.8903,2.3904,0.5471,0.1130,0.5394,0.2093
1.1707,1.5280,2.1775,2.5357,0.5837,0.3634,0.5388,0.3876
0.5525,0.5520,2.5505,2.9008,0.6483,0.0296,0.8818,0.1836
0.8651,1.0759,4.0887,4.5957,0.8139,0.2539,0.7497,0.4370
0.7229,1.0549,4.7109,1.5734,0.8884,0.2629,0.3796,0.0710
0.6470,2.2051,3.7471,6.3748,0.6375,0.0171,0.9230,0.8022
0.6752,2.2448,2.8358,3.3730,0.6671,0.1176,0.1569,0.0180
0.5207,0.8257,3.7905,2.0898,0.7695,0.1170,0.5293,0.0307
0.5228,1.6084,4.4957,4.0452,0.8978,0.1418,0.7767,0.5588
1.2563,1.3994,2.0201,3.8438,0.5827,0.0895,0.7242,0.4480
0.5518,0.9318,4.3476,2.4523,0.9469,0.1585,0.4164,0.0210
1.2292,1.3799,1.7716,1.6157,0.4111,0.0544,0.5719,0.2635
0.7376,1.0338,4.0432,3.3111,0.9076,0.3284,0.7608,0.4413
0.8106,0.9710,3.7170,3.2626,0.5755,0.0346,0.5158,0.1732
0.6580,0.6770,3.8866,2.9644,0.8534,0.2023,0.5781,0.0319
1.7632,1.2920,3.0480,5.6546,0.3022,0.2170,0.8366,0.5233
0.6817,1.1734,5.2487,1.8893,0.9566,0.2399,0.3202,0.0271
0.4358,0.9364,4.5959,1.1831,0.9238,0.0923,0.5698,0.2197
0.6663,3.3970,4.3070,5.7024,0.7137,0.0807,0.9907,0.9110
0.6181,1.2920,3.3074,3.9698,0.6553,0.0436,0.3854,0.0218
0.5307,0.4187,5.4833,3.7560,0.9437,0.1236,0.8577,0.0114
0.4630,0.7177,4.2216,2.0529,0.8391,0.0998,0.7549,0.0733
0.3823,1.1636,5.8513,6.4396,0.8129,0.0025,0.9758,0.5031
0.3778,3.2936,3.7298,3.3530,0.8878,0.0456,0.0359,0.0136
0.7513,2.0885,1.1671,0.8788,0.5670,0.1077,0.2251,0.0590
1.3380,1.6062,6.6405,2.5340,0.9106,0.5766,0.9532,0.6996
1.6045,0.6934,2.1038,3.3490,0.1926,0.0023,0.9864,0.2053
0.9749,0.5351,2.2377,3.3658,0.7364,0.2699,0.7702,0.0672
0.9345,0.5402,5.5559,3.0942,0.9126,0.3644,0.8610,0.1591
0.3929,0.5205,4.8460,3.2767,0.8871,0.0304,0.7842,0.1325
1.6728,0.4539,2.6137,4.5128,0.2137,0.0043,0.8601,0.0915
1.0478,1.0782,4.6342,2.8416,0.9687,0.4260,0.4123,0.1759
0.5098,0.6330,4.0138,3.5543,0.8510,0.1529,0.9657,0.2086
0.7284,0.4231,3.2601,3.9156,0.5964,0.0047,0.8394,0.0353
0.4917,0.4979,3.0370,2.6309,0.9401,0.0621,0.7806,0.0357
0.6241,0.8074,5.0428,4.6854,0.9426,0.2147,0.9672,0.2966
0.6805,0.7019,2.8719,3.3776,0.5450,0.0178,0.5229,0.0106
1.3345,1.0381,5.7715,5.1953,0.8575,0.5497,0.9802,0.3818
2.6473,0.6549,1.9067,3.3808,0.2604,0.0237,0.5451,0.0053
0.9198,0.8196,2.7131,3.3485,0.8849,0.3460,0.7121,0.2183
0.7273,0.7139,3.5426,3.9047,0.7555,0.1623,0.9201,0.2689
0.9755,0.5200,2.6162,4.1153,0.5549,0.1489,0.8392,0.1537
0.8006,1.3742,3.2068,0.4744,0.7204,0.2888,0.2386,0.0396
0.5279,2.6461,3.2026,4.8326,0.7445,0.0659,0.9697,0.7407
0.6762,2.8213,4.5569,2.3975,0.8226,0.2590,0.0781,0.0083
1.1540,1.0293,1.2201,1.4706,0.3168,0.0432,0.6408,0.3660
1.0070,0.5206,4.2760,2.9020,0.9245,0.4823,0.8887,0.1529
1.1001,0.5117,2.1146,2.4971,0.4015,0.0421,0.9126,0.1400
0.8486,0.7440,4.1783,2.1340,0.9491,0.3775,0.6432,0.1665
0.6160,0.5741,6.1104,3.5686,0.8649,0.1756,0.9233,0.2055
1.9145,0.4850,2.2308,3.0251,0.3080,0.0100,0.7769,0.0962
0.8907,0.6338,3.4341,2.6608,0.8829,0.3717,0.6872,0.0682
0.6509,0.8460,4.3454,5.2516,0.7636,0.1513,0.9471,0.3811
0.4176,1.6708,4.5226,2.4075,0.8218,0.0276,0.2248,0.0109
1.0772,0.5492,0.4108,3.2205,0.3530,0.0545,0.9359,0.1833
2.2583,0.5478,7.9597,5.0118,0.9624,0.8185,0.9104,0.1883
2.4778,1.2722,2.0729,0.6926,0.1120,0.0035,0.2832,0.0358
0.6408,1.0975,2.2309,5.0301,0.9864,0.1417,0.9872,0.4264
0.8112,0.5688,3.7087,3.4940,0.8383,0.3263,0.8037,0.1245
1.0730,0.4395,5.2000,3.4842,0.8276,0.2995,0.8616,0.0599
1.2887,0.8335,2.5747,3.4049,0.3103,0.0246,0.5433,0.1200
1.1831,0.4042,1.8122,3.3641,0.5395,0.3735,0.9422,0.0502
0.6932,0.5229,2.6462,3.3102,0.7824,0.2571,0.8949,0.1035
0.8481,0.3854,5.0722,3.2773,0.8569,0.3071,0.8497,0.0480
0.4161,0.4166,4.4343,3.4236,0.7771,0.0261,0.9368,0.0616
1.0858,0.4220,1.5511,2.9162,0.3726,0.0276,0.8294,0.0551
1.7260,0.4511,4.4814,4.1414,0.9314,0.7222,0.9320,0.0662
0.8892,0.3983,3.9429,3.7070,0.4700,0.0267,0.7946,0.0299
0.4389,0.4348,2.8160,3.6543,0.8204,0.0688,0.9198,0.0945
1.3003,0.4498,1.5819,3.3507,0.5771,0.1741,0.7739,0.0319
0.7306,0.3999,3.5674,4.1738,0.9736,0.2472,0.9449,0.0269
0.7623,0.4396,3.5688,3.6144,0.9078,0.2878,0.9722,0.0517
1.5710,0.5873,1.4767,1.2513,0.2020,0.0364,0.6107,0.0316
1.1478,0.7582,1.0146,6.2941,0.5791,0.1659,0.9115,0.3098
2.6956,0.4039,3.8294,5.1068,0.9932,0.7652,0.8461,0.0142
0.4306,0.4394,5.1189,4.4848,0.8879,0.0699,0.7390,0.0112
0.7908,0.3758,4.4422,4.4727,0.5472,0.0035,0.9446,0.0064
1.5087,0.3741,0.5190,4.1493,0.3311,0.0686,0.9399,0.0168
0.8542,0.4048,2.5030,4.3412,0.9772,0.3202,0.9248,0.0127
0.5625,0.3485,4.1902,4.3887,0.9652,0.0867,0.8711,0.0121
0.5179,0.3901,4.6287,4.1615,0.9641,0.1083,0.8489,0.0294
0.4623,0.3552,3.8952,4.2352,0.8549,0.0817,0.9037,0.0259
0.6892,0.3825,2.8322,4.6731,0.5681,0.0396,0.9259,0.0224
0.4736,0.3381,2.8875,4.9927,0.8878,0.1142,0.9072,0.0063
0.4749,0.3502,3.4701,4.5891,0.9488,0.1058,0.9289,0.0166
0.6013,0.4667,3.7760,5.3216,0.7069,0.1357,0.6777,0.0028
0.4142,0.3727,2.9026,4.2193,0.7914,0.0390,0.9364,0.0089
0.4848,0.5158,2.6233,4.1783,0.8099,0.0960,0.9896,0.0183
0.5828,0.3763,2.1910,3.7952,0.7451,0.1047,0.9426,0.0303
0.5257,0.3763,4.4149,5.0841,0.9418,0.1571,0.8251,0.0036
2.9332,1.5457,0.3933,0.3379,0.0504,0.0062,0.1868,0.0045
5.5521,2.8631,2.3313,2.3784,0.9803,0.9923,0.9789,0.9019
1.0665,1.5793,4.1697,1.6027,0.8967,0.4068,0.2264,0.1256
1.3818,0.8029,3.6944,1.7539,0.2413,0.0127,0.7198,0.2995
0.9154,0.9147,1.7943,1.5478,0.4314,0.0299,0.5827,0.2581
0.8029,2.4835,2.5356,1.5201,0.7625,0.2992,0.3660,0.6471
0.8347,0.9585,3.7560,2.0668,0.9581,0.3548,0.6271,0.3210
1.9372,1.4940,1.3027,1.0374,0.2074,0.1415,0.4713,0.3466
0.5876,1.0668,2.2415,1.1553,0.9032,0.2250,0.5743,0.3736
